"Additional Information","Adresse Zusatz"
"Daily rates","Alle Preise sind Tagespreise"
"Jewelry Wholesale","Schmuck Großhandel"
"Address Information","Auf welche Firma sollen wir Ihr Benutzerkonto anlegen?"
"Personal Information","Ansprechpartner für Rückfragen?"
"The address has been saved.","Die Adresse wurde gespeichert."
"Tracking Information","Versandverfolgung (Trackingcode)"
"File was not uploaded.","Die Datei konnte nicht hochgeladen werden. Die Dateigröße sollte nicht mehr als 4 MB betragen"
"Disallowed file type.","Unzulässiger Dateityp. Bitte laden Sie Ihren Nachweis als JPG oder PDF Datei hoch."
"Keep your eyes open for our special Back to School items and save A LOT!","Sparen Sie jetzt bei unseren Schulanfangsrabatten!"
"Customer number","Ihre Kundennummer"
"Street and house number","Straße und Hausnummer"
"Complete registration","Registrierung abschließen"
"Please check your entries","Bitte überprüfen Sie Ihre Eingaben"
"License","Gewerbeschein"
"Your Message","Ihre Nachricht"
"Contact","Ansprechpartner"
"Change Data","Daten ändern"
"Zip/Postal Code","PLZ"
"City","Ort"
"Jewelry Search","Schmuck Suche"
"Request Catalog","Infomaterial anfordern"
"Help","Hilfe"
"My Wishlist","Meine Merkliste"
"My Wishlist (%d item)","Merkliste (%d Artikel)"
"My Wishlist (%d items)","Merkliste (%d Artikel)"
"You have no items in your wishlist.","Sie haben noch keine Artikel auf Ihrer Merkliste.."
"Share Wishlist","Merkliste verschicken"
"Update Wishlist","Änderungen speichern"
"Add to Wishlist","Artikel merken"
"My Account","Mein Konto"
"Quality","Qualität"
"Weight","Gewicht"
"Child Sku","Artikel Nr."
"Price per Unit","UVP* pro Stück"
"Child Price","Tages EKP** pro VPE"
"Unit","VPE"
"Availability","Verfügbarkeit"
"Quantity","Menge"
"Width","Breite"
"Strength","Stärke"
"Trimming","Besatz"
"Character","Zeichen"
"Ring width","Ringweite"
"Design","Ausführung"
"Length","Länge"
"Bandwidth","Bandend-breite"
"Of width","Anstoß-breite"
"Strip form","Bandform"
"Dimension","Innenmaß"
"Sign","Sternzeichen"
"auf-lager","Dieser Artikel ist in hoher Stückzahl verfügbar und kann in kurzer Zeit geliefert werden."
"begrenzt-auf-lager","Von diesem Artikel sind nur noch wenige Stücke auf Lager verfügbar. Bei hohem Bestellaufkommen kann dies zu einer Lieferzeitverzögerung führen, worüber wir Sie selbstverständlich informieren werden."
"nicht-auf-lager","Dieser Artikel ist vor Ort nicht lagernd. Sie erhalten diesen Artikel in 2 bis 4 Wochen."
"Back to overview","Zurück zur Übersicht"
"Item %s of %s total","Artikel %s von %s"
"Price From:","EK: ab "
"Recommended Price From:","UVP: ab"
"Price:","EK:"
"Recommended Price:","UVP:"
"with ","mit "
"Packing","Verpackungseinheit"
"%d Pieces","%d Stück"
"Tax","+ 19% MwSt"
"Grand Total","Gesamtbetrag (Brutto)"
"Shipping & Handling","+ Versandkosten"
"Netto Subtotal","Nettobetrag"
"Contacts","Kontakt"
"Customer Number","Kunden-Nr."
"Overview","Übersicht"
"not insured","Nicht versichert."
"Hello %s %s!","Guten Tag %s %s!"
"Hello!","Guten Tag!"
"Wire","Draht"
"E-Mail Adresse","Ihre E-Mail Adresse"
"Forgot Your Password?","Passwort vergessen?"
"Retrieve your password here","Fordern Sie Ihr neues Passwort an"
"Please enter your email or customer number below and we will send you a new password.","Bitte geben Sie dazu Ihre Kundennummer oder E-Mail Adresse ein, damit wir Ihnen ein neues Passwort zuschicken können."
"Login or Create an Account","Anmelden oder als Neukunde registrieren"
"JavaScript seem to be disabled in your browser.","Javascript scheint in Ihrem Browser deaktiviert zu sein."
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Sie müssen JavaScript in Ihrem Browser aktivieren, um alle Funktionen in diesem Shop nutzen zu können."
"Registered Customers","Sie haben bereits Zugangsdaten?"
"New Customers","Sie sind noch kein Kunde von Max Fröhlich?"
"Registered Customers without Access","Sie sind bereits Kunde bei Max Fröhlich?"
"If you have an account with us, please log in.","Wenn Sie bei uns ein Benutzerkonto besitzen, melden Sie sich bitte mit Ihren Zugangsdaten an."
"Prefix","Anrede"
"Confirm Email Address","E-Mail-Adresse bestätigen"
"Do you have any questions or additional information?","Haben Sie Fragen oder Zusatzinformationen, die wir berücksichtigen sollen?"
"Your message","Ihre Nachricht"
"back","zurück"
"Continue registration","Registrierung fortsetzen"
"You did not check the checkbox","Sie müssen bestätigen, dass Sie ein Schmuck-Fachhändler sind"
"Company Address","Firmenanschrift"
"Trade Certificate","Gewerbenachweis"
"Registration Success","Registrierung"
"License not uploaded 2","Gewerbenachweis wurde nicht hochgeladen. Bitte wählen Sie eine Datei auf Ihrem Computer aus (Schaltfläche "Durchsuchen") und drücken Sie anschließend auf die Schaltfläche ""Hochladen""."
"Please agree with Terms and Conditions","Bitte stimmen Sie der Datenschutzerklärung und den Allgemeinen Geschäftsbedingungen zu."
"Thank you for registering!","Danke für Ihre Registrierung in unserem Shop!"
"Thank you for registering with Default."Sie haben die Registrierung erfolgreich abgeschlossen!"
"My Dashboard","Benutzerkonto Übersicht"
"Contact Information","Ihre Kundendaten"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","In Ihrem Kontobereich haben Sie die Möglichkeit Ihre Daten zu ändern und Bestellungen zu prüfen. Wählen Sie auf der linken Seite einen Informationsbereich aus, den Sie bearbeiten möchten."
"Edit Account Information","Kundendaten ändern"
"Your customer number","Ihre Kundennummer"
"The account information has been saved.","Ihre Änderungen wurden gespeichert."
"Address Book","Adressbuch"
"Default Shipping Address","Standard Versandadresse"
"Ship To","Versendet an"
"Please, enter your comments...","Platz für Ihre Kommentare"
"Share Your Wishlist","Verteilen Sie Ihre Merkliste"
"Shop By","Suchfilter"
"down","ab"
"up","auf"
"Logout","Abmelden"
"There are no products matching the selection.","Keine Artikel in dieser Kategorie."
"Please select quantity of product(s).","Sie haben keine Menge angegeben. Bitte wählen unter Artikel-Menge mindestens einen Artikel aus."
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie allen Bedingungen zu, um die Bestellung auslösen zu können."
"Your order # is: 100000008.","Ihre Bestelnummer ist: %s."
"%s was added to your shopping cart."," %s wurde im Warenkorb abgelegt."
"Shopping Cart is Empty","Der Warenkorb ist leer"
"You have no items in your shopping cart.","Sie haben noch keine Artikel in Ihrem Warenkorb"
"Click <a href=""%s"">here</a> to continue shopping.","Klicken Sie <a href=""%s"">hier</a> um Ihren Einkauf fortzusetzen."
"Contact Us","Schreiben Sie uns"
"E-mail","E-Mail"
"Telephone","Telefon"
"Comment","Nachricht"
"Contact Form","Anfrage über www.standard-schmuck.de"
"Your Wishlist has been shared.","Ihre Merkliste wurde versendet."
"Take a look at %s wishlist","Artikel, die sich %s vermerkt hat."
"Take a look at my wishlist from Default.","Diese Artikel habe ich mir im www.Standard-Schmuck.de Shop vermerkt."
"View all wishlist items","Alle gemerkten Artikel anzeigen"
"Add all items to shopping cart","Alle Artikel in den Warenkorb hinzufügen"
"Invalid customer number or password.","Fehlerhafte Kundennummer oder Passwort"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s wurde Ihrem Merkzettel hinzugefügt. Klicken Sie <a href=""%2$s"">hier</a> um Ihren Einkauf fortzusetzen."
"You are now logged out","Sie haben sich abgemeldet!"
"You have logged out and will be redirected to our homepage in 5 seconds.","Sich haben sich abgemeldet und werden in 5 Sekunden zur Startseite weitergeleitet."
