"All Store Views","Alle Geschaeftansichten"
"Root","Wurzel"
"Delete","Loeschen"
"Are you sure?","Sind Sie sicher?"
"Change status","Status veraendern"
"Status","Status"
"Update attributes","Attribute herunterladen"
"Website","Webseite"
"Advanced Permissions","Erweiterte Rechte"
"Advanced Permissions Tab","Tab der Erweiterten Rechte"
"Display All Products","Alle Produkte zeigen"
"If set to ""No"", user will see only products from categories assigned to him.","Wenn Sie ""Nein"" waehlen, der Kunde wird Produkte nur aus den Kategorien sehen, die fuer ihn erlaubt sind."
"Show All Customers","Alle Kunden zeigen"
"If set to ""No"" user with restricted permissions can view customers from the website of the allowed store only.","Wenn Sie ""Nein"" waehlen, der Kunde mit eingeschraenkten Rechten wird Produkte nur aus den Geschaeften sehen, die fuer ihn erlaubt sind."
"Allow Deletion (Store-view restriction)","Loeschung erlauben (Geschaeftsichteinschraenkung)"
"If set to ""Yes"" user with restricted permissions per Store-view can delete products, product images and categories.","Wenn ""Ja"" gewaehlt ist, der Kunde mit eingeschraenkten Rechten kann durch Geschaeftsicht Produkte, Produktbilder und Kategorien loeschen."
"Allow Deletion (Website restriction)","Loeschung erlauben (Webseiteeinschraenkung)"
"If set to ""Yes"" user with restricted permissions per Website can delete products, product images and categories.","Wenn ""Ja"" gewaehlt ist, der Kunde mit eingeschraenkten Rechten kann durch Webseite Produkte, Produktbilder und Kategorien loeschen."
"Sorry, you have no permissions to delete this product. For more details please contact site administrator.","Entschuldigen Sie bitte, Sie haben keine Rechte, um dieses Produkt zu loeschen. Fuer mehr detaillierte Beschreibung finden Sie den Administrator."
"Please, select allowed categories for the following stores: %s","Bitte waehlen Sie Kategorien fuer die naechsten Geschaefte: %s"
"Sorry, you have no permissions to edit this product. For more details please contact site administrator.","Entschuldigen Sie bitte, Sie haben keine Rechte, um dieses Produkt zu bearbeiten. Fuer mehr detaillierte Beschreibung finden Sie den Administrator."
"Review could not be deleted due to insufficent permissions.","Sicht kann nicht geloescht sein gemaess insuffizienten Erlaubnissen."
"Some review(s) could not be deleted due to insufficent permissions.","Einige Sichten koennen nicht geloescht sein gemaess insuffizienten Erlaubnissen."
"Disabled","Ausgeschaltet"
"Limit Access to Store Views/Categories","Limitierter Zugang zu Geschaeftsicht/Kategorien"
"Limit Access to Websites","Limitierter Zugang zu Webseiten"
"No store-views or websites are chosen for the Role. If you proceed the advanced permissions settings will be disabled for the Role. Are you sure?","Keine Geschaeftsicht oder Webseiten werden fuer die Rolle gewaehlt. Wenn Sie weiter arbeiten werden, werden erweiterte Rechte ausgeschaltet sein fuer die Rolle. Sind Sie sicher?"
"Please, assign at least one category for each checked store.","Bitte waehlen Sie mindestens eine Kategorie fuer jedes gewaehltes Geschaeft."
"Store View","Geschaeftansicht"
"Collapse All","Alles beenden"
"Expand All","Alles vergroessern"
"ctrl+click to select multiple websites","ctrl+Klick , um mehrere Seiten auszuwaehlen"
